Cell_Cycle_Genes
ENSMUSG00000000804 
ENSMUSG00000001380 
ENSMUSG00000000093 
ENSMUSG00000000605 
ENSMUSG00000000743 
ENSMUSG00000001156 
ENSMUSG00000000003 
ENSMUSG00000000581 
ENSMUSG00000000183 
ENSMUSG00000001323 
ENSMUSG00000001023 
ENSMUSG00000000278 
ENSMUSG00000000579 
ENSMUSG00000000791 
ENSMUSG00000000628 
ENSMUSG00000000532 
ENSMUSG00000001289 
ENSMUSG00000000552 
ENSMUSG00000000223 
ENSMUSG00000000125 
ENSMUSG00000001039 
ENSMUSG00000000149 
ENSMUSG00000001229 
ENSMUSG00000001062 
ENSMUSG00000000154 
ENSMUSG00000000275 
ENSMUSG00000000976 
ENSMUSG00000001065 
ENSMUSG00000001020 
ENSMUSG00000001103 
ENSMUSG00000000168 
ENSMUSG00000000902 
ENSMUSG00000000303 
ENSMUSG00000000567 
ENSMUSG00000000959 
ENSMUSG00000001123 
ENSMUSG00000000320 
ENSMUSG00000000263 
ENSMUSG00000000085 
ENSMUSG00000001157 
ENSMUSG00000000708 
ENSMUSG00000000682 
ENSMUSG00000000632 
ENSMUSG00000000805 
ENSMUSG00000000563 
ENSMUSG00000001424 
ENSMUSG00000000301 
ENSMUSG00000000766 
ENSMUSG00000000120 
ENSMUSG00000000359 
ENSMUSG00000000001 
ENSMUSG00000000794 
ENSMUSG00000001025 
ENSMUSG00000000381 
ENSMUSG00000000617 
ENSMUSG00000000340 
ENSMUSG00000000325 
ENSMUSG00000000827 
ENSMUSG00000001348 
ENSMUSG00000001173 
ENSMUSG00000000131 
ENSMUSG00000000244 
ENSMUSG00000000440 
ENSMUSG00000000088 
ENSMUSG00000001017 
ENSMUSG00000000915 
ENSMUSG00000001166 
ENSMUSG00000000538 
ENSMUSG00000000420 
ENSMUSG00000000416 
ENSMUSG00000000881 
ENSMUSG00000000600 
ENSMUSG00000000194 
ENSMUSG00000001034 
ENSMUSG00000000276 
ENSMUSG00000000792 
ENSMUSG00000000028 
ENSMUSG00000001098 
ENSMUSG00000000378 
ENSMUSG00000000094 
ENSMUSG00000001168 
ENSMUSG00000001053 
ENSMUSG00000000216 
ENSMUSG00000000339 
ENSMUSG00000001120 
ENSMUSG00000000782 
ENSMUSG00000000489 
ENSMUSG00000000159 
ENSMUSG00000001128 
ENSMUSG00000000392 
ENSMUSG00000000958 
ENSMUSG00000000318 
ENSMUSG00000000811 
ENSMUSG00000000326 
ENSMUSG00000001270 
ENSMUSG00000000916 
ENSMUSG00000000983 
ENSMUSG00000000127 
ENSMUSG00000000711 
ENSMUSG00000001151 
ENSMUSG00000001014 
ENSMUSG00000001076 
ENSMUSG00000000838 
ENSMUSG00000000957 
ENSMUSG00000000266 
ENSMUSG00000000058 
ENSMUSG00000001240 
ENSMUSG00000000903 
ENSMUSG00000001228 
ENSMUSG00000000627 
ENSMUSG00000000934 
ENSMUSG00000001334 
ENSMUSG00000000386 
