gene_id	antibody_id
CD9	CAB002490
CR1	CAB002491
CD37	CAB002492
CD38	CAB002493
ENTPD1	CAB002494
CD40	CAB002495
GP1BA	CAB002496
CD48	CAB002497
ICAM3	CAB002498
ITGAV	CAB002499
B3GAT1	CAB002500
EFCAB13	CAB002501
CD69	CAB002503
CD72	CAB002505
CD74	CAB002506
CD81	CAB002507
CD82	CAB002508
CD83	CAB002509
DYSF	CAB002510
POU2F2	CAB002513
TP73	CAB002514
PVALB	CAB002515
TTR	CAB002517
TYMP	CAB002518
TYRP1	CAB002520
TH	CAB002522
B2M	CAB002572
SLC1A3	CAB002573
SLC1A2	CAB002574
ETS1	CAB002575
MITF	CAB002578
UCHL1	CAB002580
RET	CAB002581
CLEC3B	CAB002582
CCL17	CAB002583
ACP5	CAB002584
GRB2	CAB002589
MMP11	CAB002593
CD7	CAB002594
TGM2	CAB002598
S100A1	CAB002599
S100A2	CAB002600
S100A6	CAB002601
CLDN1	CAB002602
CLDN5	CAB002607
POU2F1	CAB002608
CLDN2	CAB002609
CLDN4	CAB002610
MMP15	CAB002611
RXRG	CAB002615
RARB	CAB002617
S100A4	CAB002618
MAGEA1	CAB002620
ACTB	CAB002621
FCER2	CAB002624
ZAP70	CAB002625
GYPA	CAB002658
CR2	CAB002659
PIP	CAB002661
CLTA	CAB002665
SPN	CAB002666
CDC7	CAB002669
FBN1	CAB002670
CNP	CAB002672
CUL1	CAB002676
CUL2	CAB002677
CUL3	CAB002678
DFFA	CAB002679
SNCB	CAB002681
MAPK3	CAB002683
FHIT	CAB002684
CASP1	CAB002685
ABL1	CAB002686
C5AR1	CAB002720
MMP13	CAB002742
RTN1	CAB002745
MVP	CAB002752
MFGE8	CAB002753
HTT	CAB002756
SLC2A1	CAB002759
TM4SF1	CAB002760
POMC	CAB002762
SLC2A3	CAB002763
BMP6	CAB002773
MUC5AC	CAB002774
HSPD1	CAB002775
SIRPA	CAB002776
ARF6	CAB002778
VAMP1	CAB002779
MCL1	CAB002781
TYMS	CAB002784
MGMT	CAB002786
MMP2	CAB002788
S100A8	CAB002791
HLA-DRA	CAB002798
PTPRC	CAB002800
ACE	CAB002921
TP53	CAB002973
TP73	CAB003022
SOX10	CAB003171
KIT	CAB003288
ITGB1	CAB003434
KDSR	CAB003673
MPHOSPH6	CAB003674
ANXA5	CAB003677
BGN	CAB003678
PHGDH	CAB003681
MTHFD2	CAB003684
SH3BGR	CAB003685
CAB39L	CAB003686
CDKN1B	CAB003691
CLTB	CAB003692
ORC2	CAB003693
ACY1	CAB003695
ASL	CAB003696
CPVL	CAB003697
TARDBP	CAB003703
LDLRAP1	CAB003705
POM121	CAB003710
YWHAB	CAB003759
ACTA2	CAB003761
ARRB1	CAB003763
AIFM1	CAB003764
AKT1	CAB003765
ATF2	CAB003769
BID	CAB003771
CASP6	CAB003775
CASP10	CAB003780
CPS1	CAB003781
DLAT	CAB003782
ECHS1	CAB003783
HP	CAB003787
CLEC4G	CAB003789
CAV1	CAB003791
