gene_id	antibody_id
KIF23	CAB010414
TIAM1	CAB010416
RRAS2	CAB010420
BCR	CAB010421
HNF1A	CAB010430
PSMD10	CAB010434
NR3C1	CAB010435
DYNC1H1	CAB010443
SLC2A2	CAB010444
SKI	CAB010449
TERF2	CAB010451
CD55	CAB010454
SLC3A2	CAB010455
EPHA3	CAB010462
EPHA2	CAB010464
CDK11A	CAB010467
PRKCD	CAB010469
NR4A2	CAB010481
CRK	CAB010485
LEP	CAB010490
EFNA3	CAB010494
EPHA7	CAB010496
CCNC	CAB010499
ELN	CAB010750
COL4A2	CAB010751
GJA1	CAB010753
LAMA3	CAB010757
MYH1	CAB010759
MYH2	CAB010760
MYO6	CAB010762
TPH1	CAB010767
TUBB4A	CAB010768
UCP3	CAB010771
TJP1	CAB010822
GSN	CAB010823
BRMS1	CAB010824
AKR1C3	CAB010874
SNCA	CAB010877
SVIL	CAB010878
TUBB4B	CAB010880
ATP2A3	CAB010882
CGB3	CAB010884
FGFR2	CAB010886
GUCY1A1	CAB010887
GUCY1B1	CAB010890
B3GAT1	CAB010893
HNRNPA1	CAB010894
SYNCRIP	CAB010895
L1CAM	CAB010896
MSN	CAB010898
NEFM	CAB010900
RNASEL	CAB010906
TNN	CAB010907
U2AF2	CAB010910
UCN	CAB010911
BMI1	CAB011120
POU2AF1	CAB011193
GFI1	CAB011197
ALKBH2	CAB011198
PDIA3	CAB011199
CHRNB1	CAB011200
CDKN2D	CAB011201
CSK	CAB011203
PTP4A2	CAB011204
FXR2	CAB011205
TSPO	CAB011232
COMT	CAB011233
CTTN	CAB011235
SPRR1A	CAB011237
ANGPT2	CAB011437
CD33	CAB011442
SMO	CAB011446
ABCC8	CAB011451
RNF19A	CAB011455
GMNN	CAB011458
PTPRR	CAB011461
UBE2C	CAB011464
PTPN21	CAB011468
PTPN14	CAB011469
PTPRU	CAB011476
NUMB	CAB011478
H3F3A	CAB011481
TLE1	CAB011482
HIST2H2AB	CAB011483
PPIB	CAB011487
TGOLN2	CAB011489
TUBG2	CAB011495
SORT1	CAB011498
SORL1	CAB011500
FOXP1	CAB011501
HIST4H4	CAB011503
HIST1H1E	CAB011506
HIST1H1C	CAB011507
AC092143.1	CAB011512
TUBA1B	CAB011513
OS9	CAB011518
MEIS1	CAB011521
PROM1	CAB011525
HNRNPU	CAB011532
PABPC1	CAB011536
DVL1	CAB011538
ZW10	CAB011565
NAP1L4	CAB011567
TSC1	CAB011568
CLTC	CAB011571
CBX7	CAB011574
SMARCC1	CAB011576
CDKL5	CAB011577
GATA6	CAB011581
FOXA1	CAB011595
ATF4	CAB011596
VPS26A	CAB011602
HIST1H2BA	CAB011603
PDGFB	CAB011604
UNG	CAB011605
SLC46A1	CAB011614
POLB	CAB011616
USP9X	CAB011618
HEXIM1	CAB011625
CENPB	CAB011626
SLN	CAB011628
PRAF2	CAB011655
IRF1	CAB011662
EIF2S1	CAB011663
SNAI2	CAB011671
PARN	CAB011673
BNIP3	CAB011676
DCP2	CAB011677
AGER	CAB011682
CCR10	CAB011684
ETF1	CAB011686
HNRNPR	CAB011687
EIF4A1	CAB011689
EIF4A2	CAB011690
TRA2B	CAB011692
CYP1B1	CAB011705
PA2G4	CAB011711
CYLD	CAB011713
DHX9	CAB011819
GAN	CAB011825
SS18L1	CAB011827
INS	CAB012098
PTPN18	CAB012174
CASP2	CAB012175
MCPH1	CAB012177
AGO4	CAB012179
SUMO3	CAB012180
ESPL1	CAB012185
ACTL6A	CAB012188
SETDB2	CAB012190
HPRT1	CAB012200
WISP1	CAB012205
PTPN22	CAB012209
EED	CAB012211
PIWIL1	CAB012217
NANOS1	CAB012219
SOCS3	CAB012220
POLR2A	CAB012226
SMYD3	CAB012229
FKBP3	CAB012232
EMSY	CAB012234
H1FX	CAB012235
BRDT	CAB012237
HIST1H1B	CAB012241
HIST1H2AE	CAB012242
SDCBP	CAB012245
HMGN1	CAB012260
H2AFX	CAB012264
CBX1	CAB012265
KDM2A	CAB012272
SAP18	CAB012273
POLA1	CAB012274
CDC5L	CAB012275
DDX1	CAB012280
AXIN2	CAB012283
NAV1	CAB012302
PIAS1	CAB012304
YBX2	CAB012332
NHEJ1	CAB012334
COPB1	CAB012338
HPCA	CAB012340
OTX1	CAB012341
NEUROG2	CAB012342
RGMA	CAB012343
XPO5	CAB012357
HNRNPA2B1	CAB012403
DCLK1	CAB012405
TUBB	CAB012406
SUPT6H	CAB012416
NQO1	CAB012421
CDON	CAB012422
NCAPD2	CAB012423
PA2G4	CAB012428
RUVBL2	CAB012432
RTN4R	CAB012443
FMR1	CAB012444
PRPF19	CAB012448
PRMT5	CAB012459
P4HB	CAB012463
ZDHHC3	CAB012465
EIF2S3	CAB012471
TOR1A	CAB012473
ABCE1	CAB012476
EEF1B2	CAB012477
RNF20	CAB012478
TSC1	CAB012481
PLXNA1	CAB012483
FKBP3	CAB012520
DDX58	CAB012643
PIDD1	CAB012647
ITLN1	CAB012652
PYM1	CAB012803
AKAP9	CAB012909
MAPK11	CAB012961
F2R	CAB012962
CLDN10	CAB012969
NEFM	CAB012976
LAT	CAB012978
GDI1	CAB012979
SKP1	CAB012982
NPM1	CAB012983
SRSF3	CAB012986
AXIN1	CAB012987
F2RL1	CAB012989
CIB1	CAB012991
PKP3	CAB012993
GJB1	CAB012994
LRP5	CAB013001
BTF3	CAB013007
FZD1	CAB013008
CLDN18	CAB013010
IRF3	CAB013018
ANXA1	CAB013023
PAX2	CAB013024
METAP2	CAB013025
UBB	CAB013048
PRKCG	CAB013051
CD3D	CAB013055
MT1A	CAB013056
CTAG1A	CAB013061
CLDN7	CAB013063
GOLGA1	CAB013065
ELAVL3	CAB013066
ATP5F1A	CAB013067
CDH11	CAB013072
SRSF1	CAB013073
OCLN	CAB013075
GJA5	CAB013080
CSNK2B	CAB013087
JAK1	CAB013088
JAK2	CAB013089
AKT3	CAB013090
GJB2	CAB013093
RAB11A	CAB013097
STAT4	CAB013108
CDK2	CAB013115
CDK4	CAB013116
IL10	CAB013120
GATA4	CAB013125
SERPINA1	CAB013211
PRKCD	CAB013225
TTK	CAB013229
SDC4	CAB013240
CLDN18	CAB013243
TJP3	CAB013244
ANK3	CAB013249
ANGPT4	CAB013260
MBD3	CAB013265
HMX2	CAB013268
ATG12	CAB013272
YWHAG	CAB013274
EFNA5	CAB013282
INCENP	CAB013292
MLH1	CAB013294
IQGAP1	CAB013302
ANGPT4	CAB013305
RIOX2	CAB013458
FOSL2	CAB013460
JPH1	CAB013461
ATIC	CAB013462
SIGMAR1	CAB013470
SOCS4	CAB013478
IRF8	CAB013480
UBQLN2	CAB013481
IRAK2	CAB013483
CAV2	CAB013488
SKP2	CAB013491
JPH4	CAB013492
PEBP1	CAB013493
AFDN	CAB013496
TRIM5	CAB013497
CGNL1	CAB013500
SPRY3	CAB013505
PTBP1	CAB013507
IRF4	CAB013508
PDLIM5	CAB013511
MPDZ	CAB013512
RPTOR	CAB013514
RPS6KA3	CAB013520
ROBO1	CAB013524
CDH16	CAB013526
KLF6	CAB013529
ACTA2	CAB013531
SKP2	CAB013533
TCF7L2	CAB013535
MUC4	CAB013536
EPHB4	CAB013537
SPRY1	CAB013538
PHPT1	CAB013584
PSEN2	CAB013634
TBX2	CAB013636
EPHB2	CAB013647
CCL2	CAB013676
SCN9A	CAB013679
GSDMB	CAB013681
OPN3	CAB013682
DEPP1	CAB013687
USH1C	CAB013690
ACACA	CAB013715
BAG4	CAB013716
PTCH1	CAB013717
PSIP1	CAB013718
NSD3	CAB013721
VAPB	CAB013722
MCMBP	CAB013792
FBXW7	CAB013793
EIF4G1	CAB014774
CYTH2	CAB014872
CWC25	CAB014874
AP3M2	CAB014876
PSAT1	CAB014882
GABRP	CAB014883
EN1	CAB014884
PHB2	CAB014889
FDCSP	CAB014890
BCL11A	CAB014891
FANCE	CAB014893
ERLIN2	CAB014894
PALB2	CAB014895
ST6GAL1	CAB015018
SIRPA	CAB015122
ORC4	CAB015124
FOXA3	CAB015154
FLCN	CAB015158
TGM1	CAB015159
TNNT1	CAB015168
SPTB	CAB015169
CASQ1	CAB015170
KIF1B	CAB015177
ANK2	CAB015178
ANK3	CAB015179
PSMB9	CAB015180
PDIA3	CAB015181
CHAF1A	CAB015186
LTBP4	CAB015194
DTNA	CAB015196
RBM15	CAB015201
DDHD2	CAB015202
TBC1D8	CAB015211
PTPN1	CAB015217
ATP6AP1	CAB015218
CC2D1A	CAB015220
LTA4H	CAB015221
LARP1	CAB015222
LPIN2	CAB015223
MYO10	CAB015224
DEK	CAB015226
SDF4	CAB015227
UBE2S	CAB015228
KTN1	CAB015331
HIP1	CAB015334
LDHA	CAB015336
MAD1L1	CAB015338
TUBB2A	CAB015339
GOLM1	CAB015341
SRR	CAB015343
SPINK5	CAB015347
BCAP31	CAB015350
SUB1	CAB015351
LIME1	CAB015363
TNNT2	CAB015371
NIFK	CAB015382
MYH7	CAB015384
MYH9	CAB015386
CD5	CAB015392
DMC1	CAB015397
HLA-DRB1	CAB015400
HLA-DRA	CAB015402
ELANE	CAB015409
CSNK1D	CAB015410
EIF2B5	CAB015412
RCC1	CAB015413
SCARB2	CAB015415
FASN	CAB015417
HLA-B	CAB015418
PIK3CD	CAB015420
GOLGA2	CAB015421
BCAP31	CAB015424
MAGOH	CAB015425
GEMIN2	CAB015426
DDX20	CAB015427
MAP6	CAB015442
UBA7	CAB015444
SLAMF7	CAB015445
CUL7	CAB015449
GBP1	CAB015450
MAGEC1	CAB015452
CTAG1B	CAB015453
PPP1R13B	CAB015454
PRPF8	CAB015457
KPNA2	CAB015460
DIAPH2	CAB015461
SCRIB	CAB015463
GNAL	CAB015464
SLC1A1	CAB015466
SLC5A1	CAB015467
SLC22A4	CAB015468
TXNRD1	CAB015834
NUCB2	CAB015931
SUGT1	CAB015942
STOML2	CAB015944
PYCARD	CAB015948
CAMP	CAB015949
CD47	CAB016055
CSNK2B	CAB016059
TFAP2C	CAB016061
HSF2	CAB016067
APOB	CAB016070
LPA	CAB016072
ADM	CAB016075
TFAP2C	CAB016079
CIITA	CAB016084
AZGP1	CAB016087
DNAJA3	CAB016095
CD1D	CAB016107
CD19	CAB016110
HNRNPM	CAB016113
CELF1	CAB016114
NCK2	CAB016116
FANCD2	CAB016117
ATP2B4	CAB016118
VAMP1	CAB016119
5-Sep	CAB016120
ST6GAL1	CAB016122
CYP2C9	CAB016123
EME1	CAB016127
TNFRSF4	CAB016128
FUT4	CAB016129
FLII	CAB016132
NECTIN1	CAB016135
ING1	CAB016136
HBG2	CAB016143
CSF2RA	CAB016148
CITED2	CAB016157
HLA-G	CAB016158
PHLDA1	CAB016160
ARVCF	CAB016162
PODXL	CAB016169
CHM	CAB016171
CSPG4	CAB016189
RAD51B	CAB016191
SPTA1	CAB016193
YWHAE	CAB016200
LTF	CAB016201
CTAGE1	CAB016204
ATP5PO	CAB016209
PDCD6IP	CAB016212
GATA3	CAB016217
ATF1	CAB016222
HNRNPK	CAB016225
STK11	CAB016231
SPTB	CAB016232
PAX9	CAB016239
MT-CO1	CAB016241
MT-CO2	CAB016243
COX6C	CAB016244
SLC6A3	CAB016249
CD6	CAB016252
CLU	CAB016253
TFR2	CAB016255
PRKN	CAB016257
LMO2	CAB016258
GSK3B	CAB016263
CXCR2	CAB016268
CR1	CAB016271
MUC2	CAB016275
ALYREF	CAB016281
TAF1	CAB016283
PRKCA	CAB016290
BLNK	CAB016291
IFI16	CAB016293
INPP5D	CAB016300
MDM2	CAB016303
PML	CAB016304
SHC1	CAB016305
DLG1	CAB016307
MCM7	CAB016312
E2F2	CAB016313
CDC27	CAB016315
EIF4E	CAB016316
SMN1	CAB016324
TNPO1	CAB016325
HNRNPL	CAB016326
NXF1	CAB016327
ORC6	CAB016330
ARID1A	CAB016334
SMARCC1	CAB016336
KIN	CAB016339
CTSW	CAB016345
UTRN	CAB016348
DAG1	CAB016353
COL7A1	CAB016357
BACE1	CAB016358
CDC73	CAB016359
EFEMP1	CAB016368
TPSAB1	CAB016369
ACAN	CAB016377
CFB	CAB016381
CFH	CAB016385
POLR2A	CAB016388
PENK	CAB016390
GAPDH	CAB016392
ADAMTS1	CAB016394
CELF2	CAB016395
MBNL1	CAB016398
HIP1	CAB016402
RAB9A	CAB016411
TXNDC2	CAB016414
NME8	CAB016416
TXNL1	CAB016446
CAMP	CAB016522
MYH8	CAB016527
CYP1A2	CAB016531
CDK16	CAB016535
RPA2	CAB016538
SLC2A4	CAB016544
FCRLA	CAB016545
RFESD	CAB016546
RBL2	CAB016547
LCN2	CAB016549
LCN2	CAB016550
SERPINA3	CAB016647
SERPINA1	CAB016648
A1BG	CAB016673
PLG	CAB016678
CSNK1A1	CAB016680
CCNE1	CAB016682
IRAK4	CAB016685
RB1	CAB016687
DIABLO	CAB016688
BTK	CAB016689
VTN	CAB016695
PROC	CAB016721
C1S	CAB016722
PAPPA	CAB016724
HPX	CAB016725
GSN	CAB016728
GIP	CAB016729
NPY	CAB016733
PYY	CAB016734
PPY	CAB016735
FCN1	CAB016760
PAEP	CAB016762
VTN	CAB016765
COL3A1	CAB016766
CFH	CAB016769
C2	CAB016775
FGA	CAB016776
CFI	CAB016777
APOA1	CAB016778
F2	CAB016780
MBL2	CAB016782
CUTA	CAB016787
SERPINC1	CAB016790
PROC	CAB016792
SFTPA1	CAB016793
HMGCR	CAB016797
IRS2	CAB016944
STARD3	CAB017021
GLYR1	CAB017022
KAT6A	CAB017023
NPEPL1	CAB017025
PCK1	CAB017027
PNMT	CAB017029
POLG2	CAB017030
PPFIA1	CAB017032
PLPBP	CAB017033
RBM38	CAB017036
RAB11FIP1	CAB017037
PSMD3	CAB017038
PIM1	CAB017040
TACC1	CAB017041
ELOVL5	CAB017042
CTBS	CAB017043
KRT23	CAB017091
SETD5	CAB017093
MARS	CAB017097
ABL2	CAB017106
CA9	CAB017107
CTPS1	CAB017111
CTSV	CAB017112
MYBL2	CAB017114
CSF3R	CAB017116
DCN	CAB017118
FTO	CAB017123
IGF2BP2	CAB017126
FUT8	CAB017129
GSTM3	CAB017130
PRCC	CAB017151
CLTC	CAB017155
TOMM70	CAB017156
MYH10	CAB017180
OXSR1	CAB017181
PPP6R3	CAB017183
PPP4R3B	CAB017185
HIP1R	CAB017187
HERC2	CAB017188
SSH2	CAB017189
2-Sep	CAB017190
SYNM	CAB017192
CGN	CAB017193
TLN2	CAB017194
HSPE1	CAB017366
PDIA4	CAB017368
FKBP4	CAB017441
HIF1A	CAB017442
HMOX1	CAB017444
STIP1	CAB017448
DNAJB1	CAB017450
HSPA1A	CAB017451
HSPA6	CAB017452
KDELR1	CAB017455
GOSR2	CAB017456
TCP1	CAB017460
HTR5A	CAB017467
THRAP3	CAB017472
TP53I3	CAB017479
WWTR1	CAB017483
ZNF148	CAB017486
SLC16A1	CAB017489
SLC16A3	CAB017490
NDRG2	CAB017491
ALAS1	CAB017498
AP2A2	CAB017514
CAV3	CAB017518
FGF1	CAB017519
CD3G	CAB017520
MTA2	CAB017522
COIL	CAB017524
ATP5F1B	CAB017527
NEK2	CAB017530
DCTN4	CAB017532
LDB2	CAB017544
CBX5	CAB017548
PDK1	CAB017554
PRTN3	CAB017558
ANXA4	CAB017560
RGS7	CAB017561
EIF3B	CAB017562
CXCL12	CAB017564
DUSP6	CAB017566
IFITM1	CAB017615
CORO1B	CAB017616
KIF11	CAB017617
AIMP1	CAB017618
A2M	CAB017621
PCOLCE	CAB017623
PPBP	CAB017624
ANGPT2	CAB017626
AP2B1	CAB017631
PDE4A	CAB017632
3-Sep	CAB017633
DCT	CAB017634
PPARD	CAB017635
PTN	CAB017685
S100G	CAB017688
ITGA2	CAB017690
IRF7	CAB017694
MED1	CAB017696
TPM1	CAB017698
LIPE	CAB017700
ZFYVE9	CAB017702
MYB	CAB017704
RAB27B	CAB017712
RAB6B	CAB017713
SACS	CAB017714
THBS2	CAB017716
AAMP	CAB017717
ING1	CAB017773
KISS1	CAB017775
MT3	CAB017779
LSP1	CAB017781
NAT1	CAB017782
AXIN2	CAB017783
FH	CAB017785
CUL4B	CAB017786
CUL5	CAB017787
FANCC	CAB017793
KMT2A	CAB017794
PAPOLG	CAB017795
NADSYN1	CAB017798
RECQL4	CAB017800
PIK3CA	CAB017804
TAL1	CAB017805
HMGA2	CAB017809
WNK2	CAB017813
ANGPT1	CAB017815
ASPM	CAB017816
FIG4	CAB017823
AMBRA1	CAB017825
CD276	CAB017826
FABP3	CAB017830
FABP5	CAB017831
FOXM1	CAB017832
CLNS1A	CAB017840
EDNRB	CAB017842
DEPDC1	CAB017845
FAM49A	CAB017847
TCF20	CAB017849
RAB3D	CAB018067
CAPN11	CAB018070
NCAM1	CAB018071
PDGFRA	CAB018143
PDGFRB	CAB018144
CDKN2A	CAB018232
PDGFB	CAB018341
RPS6KB1	CAB018346
TCF3	CAB018351
CREM	CAB018352
ADCY1	CAB018364
ADCY6	CAB018365
PRKD1	CAB018367
HMGN3	CAB018370
HMGN2	CAB018371
IL3RA	CAB018374
ERG	CAB018377
GNG2	CAB018380
GNB4	CAB018383
FYN	CAB018387
YWHAG	CAB018389
PPP1R15A	CAB018395
TFDP2	CAB018396
CDKN2C	CAB018398
BCR	CAB018545
MAP2K3	CAB018548
RAP2A	CAB018552
CAV3	CAB018557
CALM1	CAB018558
MAPK7	CAB018561
CHUK	CAB018564
NFATC2	CAB018567
MET	CAB018577
CDH2	CAB018580
PPP3CA	CAB018581
NOS1AP	CAB018582
ARHGDIB	CAB018584
NCS1	CAB018587
ITGA3	CAB018594
CYCS	CAB018597
PPP2R1A	CAB018599
PPP2CB	CAB018600
RBP1	CAB018603
ITGA2B	CAB018611
ENO1	CAB018614
ASAP2	CAB018615
LRP1	CAB018621
FBLN2	CAB018622
STC1	CAB018625
HOPX	CAB018632
PRKAG2	CAB018641
VIP	CAB018649
F2	CAB018650
ADCY8	CAB018652
CYP1A1	CAB018654
GPI	CAB018655
KCNQ1	CAB018656
TERF2IP	CAB018660
MYL3	CAB018662
ANAPC2	CAB018692
TNNI2	CAB018697
ATP6V1E1	CAB018699
PIF1	CAB018701
ATP1A1	CAB018702
DPYSL2	CAB018719
SIAH1	CAB018724
PCK2	CAB018734
GNB4	CAB018737
PRKG2	CAB018739
SPTLC1	CAB018747
TERF2IP	CAB018749
VPS4A	CAB018751
SULT2A1	CAB018755
CRY1	CAB018762
PBX1	CAB018768
PDE7A	CAB018770
ATG7	CAB018771
SERPINB3	CAB018772
TNS1	CAB018774
F8	CAB018777
RAB2A	CAB018781
EEA1	CAB018782
EDNRA	CAB018957
GPSM2	CAB018962
SPINT2	CAB018969
TGFBR3	CAB018971
ULBP2	CAB018974
NCKIPSD	CAB019267
BRF2	CAB019269
CSTF1	CAB019270
JAZF1	CAB019271
WISP2	CAB019273
RBP1	CAB019276
RPN2	CAB019277
RNF39	CAB019278
SLC20A1	CAB019279
NR2F1	CAB019281
HACD2	CAB019282
ACADS	CAB019284
ADSL	CAB019285
AKAP1	CAB019286
ALOX12	CAB019287
ANKRD11	CAB019288
RAF1	CAB019291
GGH	CAB019296
NMB	CAB019302
OPTN	CAB019303
GSDME	CAB019306
E2F1	CAB019308
AGO2	CAB019309
LIMK2	CAB019313
CST6	CAB019316
RABAC1	CAB019320
ARL6IP5	CAB019321
FLNB	CAB019322
SND1	CAB019323
CCNE2	CAB019374
CDK2AP1	CAB019377
PRKAR1A	CAB019378
PSMD7	CAB019379
NANOG	CAB019380
OLIG2	CAB019381
HOXA10	CAB019384
MAPRE1	CAB019391
BTN3A2	CAB019392
KLK8	CAB019393
GRN	CAB019394
BMPR1A	CAB019398
HDAC5	CAB019400
NCOA1	CAB019402
TCF7	CAB019403
RPS6KB2	CAB019404
LEF1	CAB019405
EIF4EBP2	CAB019415
CCNH	CAB019416
HNF4A	CAB019417
PKM	CAB019421
GRB10	CAB019423
EGR1	CAB019427
INS-IGF2	CAB019430
UBA1	CAB019435
RHEB	CAB019436
MLST8	CAB019935
CALR	CAB019952
OR51E1	CAB019995
NPS	CAB020139
CD5	CAB020308
PTGS1	CAB020315
NFE2L2	CAB020317
ERBB2	CAB020416
BIRC2	CAB020661
CCNDBP1	CAB020664
IGFBP7	CAB020668
IL10RB	CAB020670
LCP1	CAB020673
DPPA4	CAB020678
SNX5	CAB020679
CSNK2A1	CAB020680
TFF3	CAB020681
ABCF2	CAB020682
ABHD5	CAB020685
ALDH1A1	CAB020690
ALDH3A2	CAB020692
ANKRD6	CAB020693
PPM1H	CAB020694
ARMCX1	CAB020695
ARHGAP22	CAB020696
ATP1B3	CAB020697
ALPPL2	CAB020698
ATP9A	CAB020699
B4GALT6	CAB020701
ARAP1	CAB020703
BAG6	CAB020704
CLGN	CAB020709
CPA3	CAB020712
EXTL2	CAB020716
IMPDH2	CAB020717
HSPG2	CAB020718
ISYNA1	CAB020720
TCF4	CAB020722
NUP62	CAB020724
CLIP2	CAB020767
FTL	CAB020769
GNL3	CAB020770
PAWR	CAB020779
KDELC1	CAB020780
LAPTM4B	CAB020782
PDZD2	CAB020784
LIN28A	CAB020785
MMEL1	CAB020786
MARCKSL1	CAB020787
MYLK	CAB020789
MYO5C	CAB020790
RHOXF2	CAB020794
PFKFB3	CAB020795
THSD1	CAB020796
TDRD7	CAB020800
NPTX2	CAB020801
TXNRD3	CAB020802
WDR1	CAB020804
TARBP1	CAB020810
PLD3	CAB020812
FHL1	CAB020817
TNIP2	CAB020818
PLXND1	CAB020819
RAB29	CAB020822
SPINK2	CAB020824
CLIC1	CAB020825
ALDOB	CAB020827
ALDOC	CAB020828
ALPL	CAB020829
SIPA1	CAB020833
SSBP2	CAB020834
ELP2	CAB020835
STAU2	CAB020836
STAU1	CAB020839
STK10	CAB020840
DEPTOR	CAB020841
TFPI	CAB020842
TGFB1I1	CAB020844
NRBP2	CAB020944
CTNNA1	CAB021089
PSMD1	CAB021092
ACOX1	CAB021094
PSMD8	CAB021101
PDAP1	CAB021103
OAS1	CAB021104
ACAT2	CAB021106
YWHAE	CAB021109
ANP32E	CAB021114
ELP1	CAB021340
EFNA4	CAB021350
ID3	CAB021353
HIST1H4A	CAB021887
CDKN1B	CAB021888
SH3KBP1	CAB021892
KLRK1	CAB021896
AKT1S1	CAB021903
SYN1	CAB021929
ATXN3	CAB021976
NCSTN	CAB021982
LASP1	CAB022049
ITGB5	CAB022050
MARCKS	CAB022062
RAD21	CAB022065
PTPA	CAB022068
NONO	CAB022069
PI4KB	CAB022071
GRAP2	CAB022073
SEC61A1	CAB022076
IRAK4	CAB022077
KIF21A	CAB022079
SCRIB	CAB022081
EIF2AK1	CAB022082
PRMT3	CAB022083
SGK1	CAB022085
RRM1	CAB022093
MAP2K5	CAB022094
GRM4	CAB022096
NFKB2	CAB022098
GNAI3	CAB022099
FCER1A	CAB022102
RAD50	CAB022103
STK11	CAB022105
FCER1G	CAB022108
CFLAR	CAB022157
GAB2	CAB022159
NCF2	CAB022160
WASF1	CAB022161
FXN	CAB022164
SCN8A	CAB022169
TPSAB1	CAB022175
GALC	CAB022196
TSHB	CAB022202
APOH	CAB022214
ELAVL2	CAB022222
ATP1A2	CAB022230
LHB	CAB022241
SLC6A1	CAB022293
GRB14	CAB022294
MSI2	CAB022300
POLR2A	CAB022311
FOXO1	CAB022326
NEU2	CAB022336
CHRM2	CAB022338
TNR	CAB022343
LMO4	CAB022345
TIMP1	CAB022360
RCVRN	CAB022363
SLC5A5	CAB022364
CHRM1	CAB022366
SLC9A1	CAB022371
MAN2A1	CAB022377
ADAM2	CAB022390
TAF10	CAB022405
MCFD2	CAB022410
IMMT	CAB022439
PTPRM	CAB022442
PTPRM	CAB022443
CHRM4	CAB022444
GNAI1	CAB022449
NEUROD1	CAB022450
TOPBP1	CAB022451
FOXD3	CAB022455
SOX9	CAB022456
PPP1R9B	CAB022461
GABRA6	CAB022462
GRIK2	CAB022463
FER	CAB022464
NOTCH1	CAB022466
RHO	CAB022486
SLC4A4	CAB022493
SLC4A7	CAB022494
GABRA1	CAB022502
SAR1A	CAB022545
H2AFZ	CAB022549
PRMT1	CAB022550
SUPT16H	CAB022551
PPP1CB	CAB022558
KCNA5	CAB022562
KCNA10	CAB022564
SCN2A	CAB022567
KCNJ5	CAB022569
KCNC2	CAB022571
KCNK1	CAB022588
TRPC7	CAB022592
LMNB2	CAB022593
ZPR1	CAB022596
MAP6	CAB022600
QKI	CAB022602
PTF1A	CAB022612
PKD2L1	CAB022621
MAPK10	CAB022625
RSF1	CAB022626
SAP30	CAB022627
WASF2	CAB022632
KCNK6	CAB022637
PPP5C	CAB022641
P2RY2	CAB022642
P2RY4	CAB022644
PPP1CC	CAB022645
P2RY14	CAB022646
SSTR3	CAB022647
KCNMB2	CAB022649
RASSF3	CAB022664
GSTM1	CAB022669
TTN	CAB022682
LTB4R2	CAB022689
GLP2R	CAB022690
SLC8A1	CAB022694
ADGRL3	CAB022698
LHB	CAB022707
HTR7	CAB022708
TOR1B	CAB022709
GIPR	CAB022710
MVP	CAB022717
HUWE1	CAB022718
GRIN2A	CAB022725
GHRL	CAB022731
P2RY6	CAB022740
SUCNR1	CAB022745
HMX2	CAB022752
RAC2	CAB022946
RAB3B	CAB023293
THRA	CAB023349
CGA	CAB023350
PRL	CAB023353
GDF2	CAB023357
IL6	CAB023406
PTH	CAB023409
FSHB	CAB023410
AREG	CAB023519
SATB2	CAB023669
SIK1	CAB023801
GAS1	CAB024164
KMT2A	CAB024270
AFP	CAB024283
HLA-E	CAB024589
AFAP1	CAB024712
FABP6	CAB024713
IL27	CAB024722
GATA2	CAB024847
SERPINF2	CAB024863
IL25	CAB024864
OLIG3	CAB024865
NTM	CAB024875
FSTL3	CAB024899
SIGLEC5	CAB024900
CPE	CAB024907
DDX17	CAB024908
PRSS27	CAB024920
CTSA	CAB024930
PODXL2	CAB024934
CST5	CAB024944
DKK3	CAB024949
PPP3CC	CAB024950
FABP4	CAB024961
CST2	CAB024963
RAD50	CAB024979
OAS2	CAB024984
IL20RA	CAB024990
FZD3	CAB024995
IL17RA	CAB024996
OSTN	CAB024997
LY86	CAB025000
CDHR5	CAB025004
ITGAL	CAB025011
FAM3A	CAB025016
KLK9	CAB025049
ITGAM	CAB025091
ERAP1	CAB025095
LGALS7B	CAB025100
RECK	CAB025109
CTSZ	CAB025114
ACVR2B	CAB025115
DSG2	CAB025122
SDC2	CAB025123
LXN	CAB025128
LAMP3	CAB025133
ANXA13	CAB025135
XPNPEP2	CAB025136
REG1A	CAB025138
CDH17	CAB025143
SGK1	CAB025148
NTHL1	CAB025152
SEMA6B	CAB025157
MEP1A	CAB025163
MMP25	CAB025177
ICAM5	CAB025178
CA12	CAB025181
ARSA	CAB025183
GNLY	CAB025186
NOMO1	CAB025192
XPNPEP1	CAB025196
CPA1	CAB025197
LGALS2	CAB025198
CNTN1	CAB025200
CFLAR	CAB025216
FRK	CAB025217
PON3	CAB025250
CRHR1	CAB025251
CD38	CAB025255
CLUL1	CAB025264
XPNPEP2	CAB025269
IL18RAP	CAB025270
CDH6	CAB025274
CNTFR	CAB025310
STK3	CAB025316
AVP	CAB025318
MLX	CAB025329
ERBB3	CAB025331
FYB1	CAB025336
KEAP1	CAB025337
AFP	CAB025339
MAFF	CAB025341
FKBP8	CAB025346
LAX1	CAB025358
LINGO2	CAB025361
CTSC	CAB025364
PSPN	CAB025366
CD80	CAB025368
BNIP3L	CAB025371
EXTL3	CAB025387
SMC1A	CAB025404
DKKL1	CAB025410
PREP	CAB025414
RUNX3	CAB025416
ZFP91	CAB025417
GPC2	CAB025423
LTBP1	CAB025428
C1QTNF1	CAB025429
PON2	CAB025430
RPS6KA5	CAB025458
HMOX2	CAB025464
KLK12	CAB025473
JAG2	CAB025481
MAPK12	CAB025483
S100A10	CAB025484
METAP1	CAB025485
